FirstByte	LastByte	Type	Compressed	Extracted	Description	Modified
16FBF8			No	No		7/7/2003
170200	170700	GFX	Yes	No	(60) NPC and Enemy Graphics	7/7/2003
170701	170F17	GFX	Yes	No	(67) NPC and Enemy Graphics	7/7/2003
170F18	172CD7	GFX	Yes	No	(68) NPC and Enemy Graphics	7/7/2003
172CD8	1736F5	GFX	Yes	No	(69) NPC and Enemy Graphics	7/7/2003
1736F6	1750EE	GFX	Yes	No	(6A) NPC and Enemy Graphics	7/7/2003
1750EF	175610	GFX	Yes	No	(59) NPC and Enemy Graphics	7/7/2003
175611	175BBB	GFX	Yes	No	(58) NPC and Enemy Graphics	7/7/2003
175BBC	1780FF	GFX	Yes	No	(6C) NPC and Enemy Graphics	7/7/2003
178100	178A13	GFX	Yes	No	(54) NPC and Enemy Graphics	7/7/2003
178A14	17954E	GFX	Yes	No	(55) NPC and Enemy Graphics	7/7/2003
17954F	17A072	GFX	Yes	No	(64) NPC and Enemy Graphics	7/7/2003
17A073	17BDB5	GFX	Yes	No	(4C) NPC and Enemy Graphics	7/7/2003
17BDB6	17BF32	GFX	Yes	No	(C6) NPC and Enemy Graphics	7/7/2003
17BF33	17CB2F	GFX	Yes	No	(C7) NPC and Enemy Graphics	7/7/2003
17CB30	17D72C	GFX	Yes	No	(C8) NPC and Enemy Graphics	7/7/2003
17D72D	17EA96	GFX	Yes	No	(66) NPC and Enemy Graphics	7/7/2003
17EA97	1800ED	GFX	Yes	No	(47) NPC and Enemy Graphics	7/7/2003
1800EE			No	No		7/7/2003
180200	181A07	GFX	Yes	No	(4F) NPC and Enemy Graphics	7/7/2003
181A08	183685	GFX	Yes	No	(51) NPC and Enemy Graphics	7/7/2003
183686	184347	GFX	Yes	No	(48) NPC and Enemy Graphics	7/7/2003
184348	187082	GFX	Yes	No	(49) NPC and Enemy Graphics	7/7/2003
187083	188DD2	GFX	Yes	No	(4B) NPC and Enemy Graphics	7/7/2003
188DD3	18AB51	GFX	Yes	No	(4D) NPC and Enemy Graphics	7/7/2003
18AB52	18BA0E	GFX	Yes	No	(4E) NPC and Enemy Graphics	7/7/2003
18BA0F	18C4E9	GFX	Yes	No	(EB) NPC and Enemy Graphics	7/7/2003
18C4EA	18C828	GFX	Yes	No	(EC) NPC and Enemy Graphics	7/7/2003
18C829	18CA95	GFX	Yes	No	(ED) NPC and Enemy Graphics	7/7/2003
18CA96	18CD1C	GFX	Yes	No	(EE) NPC and Enemy Graphics	7/7/2003
18CD1D	18CFDB	GFX	Yes	No	(EF) NPC and Enemy Graphics	7/7/2003
18CFDC	18D167	GFX	Yes	No	(F0) NPC and Enemy Graphics	7/7/2003
18D168			No	No		7/7/2003
18D200	18D29B	PTR	No	No	"Pointers to dialogue (+180200, first at 18D29C)"	5/23/2003
18D29C	18DF7F	TXT	No	No	Dialogue (Huffman compressed)	5/23/2003
18DF80	18E183	PTR	No	No	"Pointers to dialogue (+180200, first at 18E184)"	5/23/2003
18E184	1901FF		No	No	Dialogue (Huffman compressed)	5/23/2003
190200	190926	GFX	Yes	No	(00) NPC and Enemy Graphics	7/7/2003
190927	190FE5	GFX	Yes	No	(01) NPC and Enemy Graphics	7/7/2003
190FE6	191530	GFX	Yes	No	(02) NPC and Enemy Graphics	7/7/2003
191531	191A1D	GFX	Yes	No	(03) NPC and Enemy Graphics	7/7/2003
191A1E	191FE1	GFX	Yes	No	(04) NPC and Enemy Graphics	7/7/2003
191FE2	192591	GFX	Yes	No	(05) NPC and Enemy Graphics	7/7/2003
192592	192B79	GFX	Yes	No	(06) NPC and Enemy Graphics	7/7/2003
192B7A	1932E6	GFX	Yes	No	(07) NPC and Enemy Graphics	7/7/2003
1932E7	1938B0	GFX	Yes	No	(08) NPC and Enemy Graphics	7/7/2003
1938B1	193F13	GFX	Yes	No	(09) NPC and Enemy Graphics	7/7/2003
193F14	194584	GFX	Yes	No	(0A) NPC and Enemy Graphics	7/7/2003
194585	194C57	GFX	Yes	No	(0B) NPC and Enemy Graphics	7/7/2003
194C58	1953FF	GFX	Yes	No	(0C) NPC and Enemy Graphics	7/7/2003
195400	195C9B	GFX	Yes	No	(76) NPC and Enemy Graphics	7/7/2003
195C9C	1963D2	GFX	Yes	No	(77) NPC and Enemy Graphics	7/7/2003
1963D3	196B21	GFX	Yes	No	(83) NPC and Enemy Graphics	7/7/2003
196B22	196F62	GFX	Yes	No	(0D) NPC and Enemy Graphics	7/7/2003
196F63	197361	GFX	Yes	No	(0E) NPC and Enemy Graphics	7/7/2003
197362	197712	GFX	Yes	No	(0F) NPC and Enemy Graphics	7/7/2003
197713	197B46	GFX	Yes	No	(10) NPC and Enemy Graphics	7/7/2003
197B47	198407	GFX	Yes	No	(11) NPC and Enemy Graphics	7/7/2003
198408	198D62	GFX	Yes	No	(12) NPC and Enemy Graphics	7/7/2003
198D63	198FE2	GFX	Yes	No	(DF) NPC and Enemy Graphics	7/7/2003
198FE3	199BDE	GFX	Yes	No	(14) NPC and Enemy Graphics	7/7/2003
199BDF	19A49F	GFX	Yes	No	(15) NPC and Enemy Graphics	7/7/2003
19A4A0	19B207	GFX	Yes	No	(16) NPC and Enemy Graphics	7/7/2003
19B208	19BA8D	GFX	Yes	No	(17) NPC and Enemy Graphics	7/7/2003
19BA8E	19C314	GFX	Yes	No	(20) NPC and Enemy Graphics	7/7/2003
19C315	19C9C9	GFX	Yes	No	(78) NPC and Enemy Graphics	7/7/2003
19C9CA	19D4BB	GFX	Yes	No	(1C) NPC and Enemy Graphics	7/7/2003
19D4BC	19DD65	GFX	Yes	No	(1D) NPC and Enemy Graphics	7/7/2003
19DD66	19E4CD	GFX	Yes	No	(13) NPC and Enemy Graphics	7/7/2003
19E4CE	19EE5C	GFX	Yes	No	(1F) NPC and Enemy Graphics	7/7/2003
19EE5D	19FE5A	GFX	Yes	No	(E7) NPC and Enemy Graphics	7/7/2003
19FE5B			No	No		7/7/2003
1A0200	1A0DB8	GFX	Yes	No	(1A) NPC and Enemy Graphics	7/7/2003
1A0DB9	1A178C	GFX	Yes	No	(19) NPC and Enemy Graphics	7/7/2003
1A178D	1A1A37	GFX	Yes	No	(24) NPC and Enemy Graphics	7/7/2003
1A1A38	1A1B21	GFX	Yes	No	(46) NPC and Enemy Graphics	7/7/2003
1A1B22	1A1B88	GFX	Yes	No	(6D) NPC and Enemy Graphics	7/7/2003
1A1B89	1A1E15	GFX	Yes	No	(6E) NPC and Enemy Graphics	7/7/2003
1A1E16	1A1EA4	GFX	Yes	No	(6F) NPC and Enemy Graphics	7/7/2003
1A1EA5	1A1F5C	GFX	Yes	No	(70) NPC and Enemy Graphics	7/7/2003
1A1F5D	1A23B3	GFX	Yes	No	(71) NPC and Enemy Graphics	7/7/2003
1A23B4	1A2537	GFX	Yes	No	(72) NPC and Enemy Graphics	7/7/2003
1A2538	1A25EC	GFX	Yes	No	(73) NPC and Enemy Graphics	7/7/2003
1A25ED	1A26A4	GFX	Yes	No	(29) NPC and Enemy Graphics	7/7/2003
1A26A5	1A26E8	GFX	Yes	No	(2A) NPC and Enemy Graphics	7/7/2003
1A26E9	1A2803	GFX	Yes	No	(2B) NPC and Enemy Graphics	7/7/2003
1A2804	1A2870	GFX	Yes	No	(2C) NPC and Enemy Graphics	7/7/2003
1A2871	1A29F9	GFX	Yes	No	(2D) NPC and Enemy Graphics	7/7/2003
1A29FA	1A2CD1	GFX	Yes	No	(2E) NPC and Enemy Graphics	7/7/2003
1A2CD2	1A2D4A	GFX	Yes	No	(2F) NPC and Enemy Graphics	7/7/2003
1A2D4B	1A2E91	GFX	Yes	No	(30) NPC and Enemy Graphics	7/7/2003
1A2E92	1A2F63	GFX	Yes	No	(31) NPC and Enemy Graphics	7/7/2003
1A2F64	1A3172	GFX	Yes	No	(32) NPC and Enemy Graphics	7/7/2003
1A3173	1A3407	GFX	Yes	No	(DD) NPC and Enemy Graphics	7/7/2003
1A3408	1A370A	GFX	Yes	No	(33) NPC and Enemy Graphics	7/7/2003
1A370B	1A37D1	GFX	Yes	No	(34) NPC and Enemy Graphics	7/7/2003
1A37D2	1A3BC3	GFX	Yes	No	(35) NPC and Enemy Graphics	7/7/2003
1A3BC4	1A3E81	GFX	Yes	No	(36) NPC and Enemy Graphics	7/7/2003
1A3E82	1A3F50	GFX	Yes	No	(37) NPC and Enemy Graphics	7/7/2003
1A3F51	1A3FF7	GFX	Yes	No	(38) NPC and Enemy Graphics	7/7/2003
1A3FF8	1A402A	GFX	Yes	No	(39) NPC and Enemy Graphics	7/7/2003
1A402B	1A40B1	GFX	Yes	No	(3A) NPC and Enemy Graphics	7/7/2003
1A40B2	1A4133	GFX	Yes	No	(3B) NPC and Enemy Graphics	7/7/2003
1A4134	1A4179	GFX	Yes	No	(3C) NPC and Enemy Graphics	7/7/2003
1A417A	1A41D2	GFX	Yes	No	(3D) NPC and Enemy Graphics	7/7/2003
1A41D3	1A425F	GFX	Yes	No	(3E) NPC and Enemy Graphics	7/7/2003
1A4260	1A42ED	GFX	Yes	No	(3F) NPC and Enemy Graphics	7/7/2003
1A42EE	1A4374	GFX	Yes	No	(40) NPC and Enemy Graphics	7/7/2003
1A4375	1A43D8	GFX	Yes	No	(41) NPC and Enemy Graphics	7/7/2003
1A43D9	1A44C1	GFX	Yes	No	(42) NPC and Enemy Graphics	7/7/2003
1A44C2	1A454F	GFX	Yes	No	(43) NPC and Enemy Graphics	7/7/2003
1A4550	1A45D0	GFX	Yes	No	(44) NPC and Enemy Graphics	7/7/2003
1A45D1	1A4652	GFX	Yes	No	(45) NPC and Enemy Graphics	7/7/2003
1A4653	1A49F9	GFX	Yes	No	(25) NPC and Enemy Graphics	7/7/2003
1A49FA	1A4CED	GFX	Yes	No	(26) NPC and Enemy Graphics	7/7/2003
1A4CEE	1A52CF	GFX	Yes	No	(18) NPC and Enemy Graphics	7/7/2003
1A52D0	1A5AA3	GFX	Yes	No	(79) NPC and Enemy Graphics	7/7/2003
1A5AA4	1A637F	GFX	Yes	No	(21) NPC and Enemy Graphics	7/7/2003
1A6380	1A68C3	GFX	Yes	No	(22) NPC and Enemy Graphics	7/7/2003
1A68C4	1A6AA0	GFX	Yes	No	(7A) NPC and Enemy Graphics	7/7/2003
1A6AA1	1A6B32	GFX	Yes	No	(27) NPC and Enemy Graphics	7/7/2003
1A6B33	1A6FD6	GFX	Yes	No	(23) NPC and Enemy Graphics	7/7/2003
1A6FD7	1A7854	GFX	Yes	No	(7B) NPC and Enemy Graphics	7/7/2003
1A7855	1A7F2E	GFX	Yes	No	(7C) NPC and Enemy Graphics	7/7/2003
1A7F2F	1A8263	GFX	Yes	No	(7D) NPC and Enemy Graphics	7/7/2003
1A8264	1A8655	GFX	Yes	No	(7F) NPC and Enemy Graphics	7/7/2003
1A8656	1A8C9F	GFX	Yes	No	(81) NPC and Enemy Graphics	7/7/2003
1A8CA0	1A9455	GFX	Yes	No	(80) NPC and Enemy Graphics	7/7/2003
1A9456	1AA307	GFX	Yes	No	(1E) NPC and Enemy Graphics	7/7/2003
1AA308	1AA7D2	GFX	Yes	No	(82) NPC and Enemy Graphics	7/7/2003
1AA7D3	1AAB7E	GFX	Yes	No	(8C) NPC and Enemy Graphics	7/7/2003
1AAB7F	1ABC14	GFX	Yes	No	(8D) NPC and Enemy Graphics	7/7/2003
1ABC15	1ABCAC	GFX	Yes	No	(8E) NPC and Enemy Graphics	7/7/2003
1ABCAD	1AC052	GFX	Yes	No	(8F) NPC and Enemy Graphics	7/7/2003
1AC053	1AC14F	GFX	Yes	No	(90) NPC and Enemy Graphics	7/7/2003
1AC150	1AC1F0	GFX	Yes	No	(91) NPC and Enemy Graphics	7/7/2003
1AC1F1	1AC3BD	GFX	Yes	No	(96) NPC and Enemy Graphics	7/7/2003
1AC3BE	1AC466	GFX	Yes	No	(92) NPC and Enemy Graphics	7/7/2003
1AC467	1AC522	GFX	Yes	No	(95) NPC and Enemy Graphics	7/7/2003
1AC523	1AD128	GFX	Yes	No	(97) NPC and Enemy Graphics	7/7/2003
1AD129	1AD237	GFX	Yes	No	(98) NPC and Enemy Graphics	7/7/2003
1AD238	1AD2C2	GFX	Yes	No	(99) NPC and Enemy Graphics	7/7/2003
1AD2C3	1AD48B	GFX	Yes	No	(A1) NPC and Enemy Graphics	7/7/2003
1AD48C	1AD4B2	GFX	Yes	No	(A7) NPC and Enemy Graphics	7/7/2003
1AD4B3	1AD56F	GFX	Yes	No	(A2) NPC and Enemy Graphics	7/7/2003
1AD570	1AD8DD	GFX	Yes	No	(A8) NPC and Enemy Graphics	7/7/2003
1AD8DE	1ADA06	GFX	Yes	No	(AB) NPC and Enemy Graphics	7/7/2003
1ADA07	1ADA59	GFX	Yes	No	(B3) NPC and Enemy Graphics	7/7/2003
1ADA5A	1ADAA6	GFX	Yes	No	(B5) NPC and Enemy Graphics	7/7/2003
1ADAA7	1ADE27	GFX	Yes	No	(CC) NPC and Enemy Graphics	7/7/2003
1ADE28	1AE24D	GFX	Yes	No	(DB) NPC and Enemy Graphics	7/7/2003
1AE24E	1AE732	GFX	Yes	No	(9C) NPC and Enemy Graphics	7/7/2003
1AE733	1AEA77	GFX	Yes	No	(D9) NPC and Enemy Graphics	7/7/2003
1AEA78	1AF95A	GFX	Yes	No	(DA) NPC and Enemy Graphics	7/7/2003
1AF95B	1AF9AA	GFX	Yes	No	(E0) NPC and Enemy Graphics	7/7/2003
1AF9AB	1AFA47	GFX	Yes	No	(E1) NPC and Enemy Graphics	7/7/2003
1AFA48	1AFC68	GFX	Yes	No	(E3) NPC and Enemy Graphics	7/7/2003
1AFC69	1AFE28	GFX	Yes	No	(E6) NPC and Enemy Graphics	7/7/2003
1AFE29			No	No		7/7/2003
1B0200	1B02DA	EVENT	Yes	No	(017) Location Event Data	7/10/2003
1B02DB	1B02FD	EVENT	Yes	No	(018) Location Event Data	7/10/2003
1B02FE	1B03BB	EVENT	Yes	No	(019) Location Event Data	7/10/2003
1B03BC	1B07DD	EVENT	Yes	No	(01A) Location Event Data	7/10/2003
1B07DE	1B0E72	EVENT	Yes	No	(01B) Location Event Data	7/10/2003
1B0E73	1B176E	EVENT	Yes	No	(01C) Location Event Data	7/10/2003
1B176F	1B1868	EVENT	Yes	No	(01D) Location Event Data	7/10/2003
1B1869	1B1A5A	EVENT	Yes	No	(01E) Location Event Data	7/10/2003
1B1A5B	1B20F6	EVENT	Yes	No	(01F) Location Event Data	7/10/2003
1B20F7	1B2396	EVENT	Yes	No	(020) Location Event Data	7/10/2003
1B2397	1B2695	EVENT	Yes	No	(021) Location Event Data	7/10/2003
1B2696	1B28EF	EVENT	Yes	No	(022) Location Event Data	7/10/2003
1B28F0	1B2B62	EVENT	Yes	No	(023) Location Event Data	7/10/2003
1B2B63	1B2C21	EVENT	Yes	No	(024) Location Event Data	7/10/2003
1B2C22	1B3104	EVENT	Yes	No	(025) Location Event Data	7/10/2003
1B3105	1B33E2	EVENT	Yes	No	(026) Location Event Data	7/10/2003
1B33E3	1B3665	EVENT	Yes	No	(027) Location Event Data	7/10/2003
1B3666	1B389C	EVENT	Yes	No	(028) Location Event Data	7/10/2003
1B389D	1B4031	EVENT	Yes	No	(029) Location Event Data	7/10/2003
1B4032	1B4473	EVENT	Yes	No	(02A) Location Event Data	7/10/2003
1B4474	1B4563	EVENT	Yes	No	(02B) Location Event Data	7/10/2003
1B4564	1B466A	EVENT	Yes	No	(02C) Location Event Data	7/10/2003
1B466B	1B46F0	EVENT	Yes	No	(02D) Location Event Data	7/10/2003
1B46F1	1B47F3	EVENT	Yes	No	(02E) Location Event Data	7/10/2003
1B47F4	1B49BE	EVENT	Yes	No	(02F) Location Event Data	7/10/2003
1B49BF	1B4B36	EVENT	Yes	No	(030) Location Event Data	7/10/2003
1B4B37	1B4C02	EVENT	Yes	No	(031) Location Event Data	7/10/2003
1B4C03	1B4DAD	EVENT	Yes	No	(032) Location Event Data	7/10/2003
1B4DAE	1B5155	EVENT	Yes	No	(033) Location Event Data	7/10/2003
1B5156	1B5313	EVENT	Yes	No	(034) Location Event Data	7/10/2003
1B5314	1B543F	EVENT	Yes	No	(035) Location Event Data	7/10/2003
1B5440	1B55E9	EVENT	Yes	No	(036) Location Event Data	7/10/2003
1B55EA	1B569A	EVENT	Yes	No	(037) Location Event Data	7/10/2003
1B569B	1B5830	EVENT	Yes	No	(038) Location Event Data	7/10/2003
1B5831	1B5C80	EVENT	Yes	No	(039) Location Event Data	7/10/2003
1B5C81	1B6002	EVENT	Yes	No	(03A) Location Event Data	7/10/2003
1B6003	1B60BA	EVENT	Yes	No	(03B) Location Event Data	7/10/2003
1B60BB	1B6224	EVENT	Yes	No	(03C) Location Event Data	7/10/2003
1B6225	1B630C	EVENT	Yes	No	(03D) Location Event Data	7/10/2003
1B630D	1B65BC	EVENT	Yes	No	(03E) Location Event Data	7/10/2003
1B65BD	1B6674	EVENT	Yes	No	(03F) Location Event Data	7/10/2003
1B6675	1B672C	EVENT	Yes	No	(040) Location Event Data	7/10/2003
1B672D	1B6897	EVENT	Yes	No	(041) Location Event Data	7/10/2003
1B6898	1B6A02	EVENT	Yes	No	(042) Location Event Data	7/10/2003
1B6A03	1B6C91	EVENT	Yes	No	(043) Location Event Data	7/10/2003
1B6C92	1B6EF8	EVENT	Yes	No	(044) Location Event Data	7/10/2003
1B6EF9	1B701E	EVENT	Yes	No	(045) Location Event Data	7/10/2003
1B701F	1B77F7	EVENT	Yes	No	(047) Location Event Data	7/10/2003
1B77F8	1B7999	EVENT	Yes	No	(048) Location Event Data	7/10/2003
1B799A	1B7A8F	EVENT	Yes	No	(049) Location Event Data	7/10/2003
1B7A90	1B81F1	EVENT	Yes	No	(04A) Location Event Data	7/10/2003
1B81F2	1B81F4	EVENT	Yes	No	(04B:051) Location Event Data	7/10/2003
1B81F5	1C01FF	---	No	No	UNUSED SPACE (32779 bytes)	7/10/2003
1C0200			No	No		5/23/2003
1CE1A0	1D01FF	---	No	No	UNUSED SPACE (8288 bytes)	6/23/2003
1D0200			No	No		5/23/2003
1EC200	1EC375	PTR	No	No	"Pointers to dialogue (+1E0200, starts at 1EC376)"	5/23/2003
1EC376	1EE4FF	TXT	No	No	Dialogue (Huffman compressed)	5/23/2003
1EE500	1EE621	PTR	No	No	"Pointers to dialogue (+1E0200, starts at 1EE622)"	5/22/2003
1EE622	1EFBFF	TXT	No	No	Dialogue (Huffman compressed)	5/22/2003
1EFC00	1EFCFF	PTR	No	No	"Pointers to Huffman substrings (+1E0200, starts at 1EFD00, 128 addresses)"	5/22/2003
1EFD00	1F00FF	TXT	No	No	Huffman substrings used for text	5/22/2003
1F0100	1F0109	PTR	No	No	"Pointers to treasure text (+1E0200, starts at 1F010A, 5 addresses)"	5/22/2003
1F010A	1F01FF	TXT	No	No	"Treasure Text (""Got 1 Mop!"")"	5/22/2003
1F0200	1F2232	GFX	Yes	No	(74) NPC and Enemy Graphics	7/7/2003
1F2233	1F2B22	GFX	Yes	No	(75) NPC and Enemy Graphics	7/7/2003
1F2B23	1F4663	GFX	Yes	No	(7E) NPC and Enemy Graphics	7/7/2003
1F4664	1F6812	GFX	Yes	No	(84) NPC and Enemy Graphics	7/7/2003
1F6813	1F873A	GFX	Yes	No	(85) NPC and Enemy Graphics	7/7/2003
1F873B	1F9870	GFX	Yes	No	(86) NPC and Enemy Graphics	7/7/2003
1F9871	1FA9FF	GFX	Yes	No	(87) NPC and Enemy Graphics	7/7/2003
1FAA00	1FC058	GFX	Yes	No	(88) NPC and Enemy Graphics	7/7/2003
1FC059	1FC1F5	GFX	Yes	No	(89) NPC and Enemy Graphics	7/7/2003
1FC1F6	1FC4C9	GFX	Yes	No	(8A) NPC and Enemy Graphics	7/7/2003
1FC4CA	1FD052	GFX	Yes	No	(8B) NPC and Enemy Graphics	7/7/2003
1FD053	1FEC2C	GFX	Yes	No	(93) NPC and Enemy Graphics	7/7/2003
1FEC2D	1FF95C	GFX	Yes	No	(AF) NPC and Enemy Graphics	7/7/2003
1FF95D	1FFB12	GFX	Yes	No	(A9) NPC and Enemy Graphics	7/7/2003
1FFB13	1FFD30	GFX	Yes	No	(D8) NPC and Enemy Graphics	7/7/2003
1FFD31	200174	GFX	Yes	No	(B0) NPC and Enemy Graphics	7/7/2003
200175			No	No		7/7/2003
200200	2010BC	GFX	Yes	No	(A3) NPC and Enemy Graphics	7/7/2003
2010BD	20202D	GFX	Yes	No	(A4) NPC and Enemy Graphics	7/7/2003
20202E	202387	GFX	Yes	No	(A5) NPC and Enemy Graphics	7/7/2003
202388	202764	GFX	Yes	No	(9A) NPC and Enemy Graphics	7/7/2003
202765	20352B	GFX	Yes	No	(9B) NPC and Enemy Graphics	7/7/2003
20352C			No	No		7/7/2003
2036E2	20406E	GFX	Yes	No	(AA) NPC and Enemy Graphics	7/7/2003
20406F	2062EC	GFX	Yes	No	(AE) NPC and Enemy Graphics	7/7/2003
2062ED	20867D	GFX	Yes	No	(9F) NPC and Enemy Graphics	7/7/2003
20867E	208F73	GFX	Yes	No	(B1) NPC and Enemy Graphics	7/7/2003
208F74	20A5FC	GFX	Yes	No	(B2) NPC and Enemy Graphics	7/7/2003
20A5FD	20D0CB	GFX	Yes	No	(B9) NPC and Enemy Graphics	7/7/2003
20D0CC	20D284	GFX	Yes	No	(BE) NPC and Enemy Graphics	7/7/2003
20D285	20F559	GFX	Yes	No	(C4) NPC and Enemy Graphics	7/7/2003
20F55A	20FF92	GFX	Yes	No	(D1) NPC and Enemy Graphics	7/7/2003
20FF93			No	No		7/7/2003
210200	2102A9	GFX	Yes	No	(DE) NPC and Enemy Graphics	7/7/2003
2102AA	2127D7	GFX	Yes	No	(C9) NPC and Enemy Graphics	7/7/2003
2127D8	214CF6	GFX	Yes	No	(CA) NPC and Enemy Graphics	7/7/2003
214CF7	219518	GFX	Yes	No	(CF) NPC and Enemy Graphics	7/7/2003
219519	219B94	GFX	Yes	No	(BA) NPC and Enemy Graphics	7/7/2003
219B95	21B9AB	GFX	Yes	No	(1B) NPC and Enemy Graphics	7/7/2003
21B9AC	21C13D	GFX	Yes	No	(CE) NPC and Enemy Graphics	7/7/2003
21C13E	21C32E	GFX	Yes	No	(D2) NPC and Enemy Graphics	7/7/2003
21C32F	21C6D8	GFX	Yes	No	(D4) NPC and Enemy Graphics	7/7/2003
21C6D9	21C911	GFX	Yes	No	(D5) NPC and Enemy Graphics	7/7/2003
21C912	21D520	GFX	Yes	No	(E2) NPC and Enemy Graphics	7/7/2003
21D521	21DFB1	GFX	Yes	No	(E4) NPC and Enemy Graphics	7/7/2003
21DFB2			No	No		7/7/2003
240200	2419B7	PAL	No	No	"Character, NPC, Enemy palettes (12 colors each)"	7/8/2003
2419B8	2421FF	---	No	No	UNUSED SPACE (2120 bytes)	7/8/2003
242200	242214	PTR	No	No	Pointers to character graphics	5/1/2003
242215	2424E7	PTR	No	No	Pointers to npc and monster graphics	7/7/2003
2424E7	2424FF	---	No	No	UNUSED SPACE (25 bytes)	7/7/2003
242500	2427B4	PTR	No	No	Pointers to character sprite assembly (first at 1C29B0) TODO	7/7/2003
2427B5	2427FF	---	No	No	UNUSED SPACE (75 bytes)	7/7/2003
242800	242983	PTR	No	No	"Pointers to character animations (?) (+240200, first at 243200)"	7/7/2003
242984	2429FF	---	No	No	UNUSED SPACE (124 bytes)	7/7/2003
242A00	242B83	PTR	No	No	"Pointers to unconfirmed animation data (+240200, first at 24AA00)"	7/7/2003
242B84	242BFF	---	No	No	UNUSED SPACE (124 bytes)	7/7/2003
242C00	242DF9	PTR	No	No	"Unknown 2 byte data, increases by 0x18"	7/8/2003
242DFA	2431FF	---	No	No	UNUSED SPACE (1030 bytes)	7/7/2003
243200	24A7FF	ANI	No	No	Character animation data	7/7/2003
24A800	24A9FF	---	No	No	UNUSED SPACE (512 bytes)	7/7/2003
24AA00	24CE5F	ANI	No	No	Uncomfirmed animation data	7/7/2003
24CE60	2501FF	---	No	No	UNUSED SPACE (13216 bytes)	6/23/2003
250200			No	No		5/23/2003
252200	2D00B1	GFX	Yes	No	Location Tiles	6/23/2003
2D00B2	2D01FF	---	No	No	UNUSED SPACE (334 bytes)	7/2/2003
2D0200	2F8140	???	Yes	No	Unknown data (55 packets)	7/2/2003
2F8141	2FB367	???	Yes	No	Unknown data (19 packets)	7/2/2003
2FB368			No	No		7/2/2003
300200	360003	MAP	Yes	No	"Location maps (last packet does not terminate, 6 bytes of data precede tile information)"	7/3/2003
360004	3601FF	---	No	No	UNUSED SPACE (508 bytes)	7/10/2003
360200	361DFF	DATA	No	No	"14 byte data, Location Data"	7/10/2003
361E00	361FFF	DATA	No	No	"8 byte data, determines which ""packets"" of graphics are used for each location"	6/23/2003
362000	3622FF	PTR	No	No	Pointers to Location Maps (first at 300200)	7/10/2003
362300	3623BF	PTR	No	No	"Pointers to unknown data (first at 2D0200, 2 byte aligned, last 9 invalid)"	7/2/2003
3623C0	36241F	PTR	No	No	"Pointers to unknown data (first at 2F8141, last 4 invalid)"	7/2/2003
362420	3626BF	PTR	No	No	Pointers to Location Tiles (first at 252200)	6/23/2003
3626C0	366FC1	PAL	No	No	"Location Palette Sets (89 sets, 7 palettes per set, 15 colors per palette)"	7/10/2003
366FC2	36757F	---	No	No	UNUSED SPACE (1469 bytes)	7/10/2003
367580			No	No		7/10/2003
368200	368F58	EVENT	Yes	No	(000) Location Event Data	7/10/2003
368F59	369239	EVENT	Yes	No	(001) Location Event Data	7/10/2003
36923A	369289	EVENT	Yes	No	(002) Location Event Data	7/10/2003
36928A	3694FB	EVENT	Yes	No	(003) Location Event Data	7/10/2003
3694FC	369AEF	EVENT	Yes	No	(004) Location Event Data	7/10/2003
369AF0	369C7C	EVENT	Yes	No	(005) Location Event Data	7/10/2003
369C7D	369D85	EVENT	Yes	No	(006) Location Event Data	7/10/2003
369D86	36A1E8	EVENT	Yes	No	(007) Location Event Data	7/10/2003
36A1E9			No	No		7/10/2003
36A200	36A2D3	PTR	No	No	"Pointers to dialogue (+360200, starts at 36A2D4)"	4/29/2003
36A2D4	36B42F	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
36B430	36B54F	PTR	No	No	"Pointers to dialogue (+360200, starts at 36B550)"	4/29/2003
36B550	36CA13	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
36CA14			No	No		4/29/2003
36CA30	36CC54	EVENT	Yes	No	(052) Location Event Data	7/10/2003
36CC55	36D05F	EVENT	Yes	No	(053) Location Event Data	7/10/2003
36D060	36D68E	EVENT	Yes	No	(054) Location Event Data	7/10/2003
36D68F	36DE4E	EVENT	Yes	No	(055) Location Event Data	7/10/2003
36DE4F	36E014	EVENT	Yes	No	(056) Location Event Data	7/10/2003
36E015	36EA75	EVENT	Yes	No	(057) Location Event Data	7/10/2003
36EA76	36ED0D	EVENT	Yes	No	(058) Location Event Data	7/10/2003
36ED0E	36EEF4	EVENT	Yes	No	(059) Location Event Data	7/10/2003
36EEF5	36EF33	EVENT	Yes	No	(05A) Location Event Data	7/10/2003
36EF34	36F000	EVENT	Yes	No	(05B:05D) Location Event Data	7/10/2003
36F001	36F0F9	EVENT	Yes	No	(05E) Location Event Data	7/10/2003
36F0FA	36F173	EVENT	Yes	No	(05F) Location Event Data	7/10/2003
36F174	36F764	EVENT	Yes	No	(060) Location Event Data	7/10/2003
36F765	36FB9B	EVENT	Yes	No	(061) Location Event Data	7/10/2003
36FB9C	36FDBD	EVENT	Yes	No	(062) Location Event Data	7/10/2003
36FDBE	36FE79	EVENT	Yes	No	(063) Location Event Data	7/10/2003
36FE7A	36FFE3	EVENT	Yes	No	(064) Location Event Data	7/10/2003
36FFE4	3701FB	EVENT	Yes	No	(065) Location Event Data	7/10/2003
3701FC	3701FF	JUNK	No	No	Non-terminating compressed event data	7/10/2003
